Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,ORL,Shaquille O'Neal,0.582,0.045,0.527,34.7,23.7,10.9,2.5,181.7,0.208
2,CHH,Alonzo Mourning,0.527,0.247,0.692,31,17.1,8.5,1.1,89.7,0.166
3,MIN,Christian Laettner,0.48,0.261,0.82,29.7,12.8,6.7,2.6,64.9,0.121
4,DAL,Jim Jackson,0.428,0.365,0.825,32.8,14.3,4.7,3.2,35.8,0.059
5,DEN,LaPhonso Ellis,0.452,0.302,0.73,28.2,11.9,6.5,1.6,32.8,0.089
6,WSB,Tom Gugliotta,0.451,0.284,0.757,30.9,13,7.3,2.8,40.2,0.082
7,SAC,Walt Williams,0.425,0.379,0.743,26.6,11.8,3.9,2.3,33.9,0.087
8,MIL,Todd Day,0.406,0.345,0.739,25.3,12.3,3.4,1.5,17.5,0.069
9,PHI,Clarence Weatherspoon,0.471,0.196,0.743,30.3,11.5,7.5,1.5,58.4,0.101
10,ATL,Adam Keefe,0.502,0.071,0.714,16.7,5,4.1,0.7,24.9,0.116
11,HOU,Robert Horry,0.425,0.341,0.726,24.5,7,4.8,2.1,66.3,0.118
12,MIA,Harold Miner,0.46,0.311,0.785,18.7,9,2.2,1.2,4.2,0.053
13,DEN,Bryant Stith,0.424,0.329,0.841,28,10.1,3.4,2,29.5,0.086
14,IND,Malik Sealy,0.426,0.292,0.809,23.8,10.1,3.2,1.7,17.1,0.07
15,LAL,Anthony Peeler,0.427,0.384,0.799,24.7,9.7,2.6,2.4,30.7,0.072
16,LAC,Randy Woods,0.34,0.305,0.683,7.2,2.4,0.6,1.7,0.6,0.026
17,SEA,Doug Christie,0.426,0.354,0.821,31.5,11.2,4.1,3.6,55.7,0.102
18,SAS,Tracy Murray,0.43,0.388,0.829,18.4,9,2.5,0.8,24.1,0.096
19,DET,Don MacLean,0.455,0.284,0.765,20.9,10.9,3.8,1.3,9.4,0.067
20,NYK,Hubert Davis,0.458,0.441,0.837,22.1,8.2,1.5,1.7,27.7,0.088
21,BOS,Jon Barry,0.434,0.392,0.848,16.9,5.7,1.8,2.2,37.2,0.129
22,PHO,Oliver Miller,0.534,0.116,0.639,23,7.4,5.9,2.2,21.1,0.089
23,MIL,Lee Mayberry,0.415,0.377,0.659,20.8,5.1,1.3,3.6,7.9,0.036
24,GSW,Latrell Sprewell,0.425,0.337,0.804,38.6,18.3,4.1,4,56.3,0.077
25,LAC,Elmore Spencer,0.516,0,0.58,16.8,5.9,3.5,0.7,0,0.001
26,POR,Dave Johnson,0.365,0.2,0.663,8.1,3.5,1.1,0.3,-0.3,-0.032
27,CHI,Byron Houston,0.456,0.256,0.676,12.5,3.9,3,0.5,3.9,0.069
28,MIN,Marlon Maxey,0.542,0,0.685,11.7,4.9,3.7,0.2,2.6,0.109
29,NJN,P.J. Brown,0.46,0.136,0.794,31.1,9.1,7.7,1.5,89.8,0.128
30,DAL,Sean Rooks,0.459,0.091,0.699,18.1,6.2,3.8,0.8,16.2,0.057
31,POR,Reggie Smith,0.394,0,0.404,5.8,1.5,1.8,0.1,0.4,0.051
32,WSB,Brent Price,0.426,0.387,0.824,16.8,5.9,1.6,3,12,0.082
33,CHI,Corey Williams,0.367,0.25,0.826,7.4,2.4,0.9,0.7,0.2,0.037
34,MIN,Chris Smith,0.435,0.366,0.713,17.7,5.1,1.3,2.8,3.2,0.039
35,CHH,Tony Bennett,0.412,0.335,0.732,12.4,3.5,1,2,1.6,0.041
36,LAL,Duane Cooper,0.402,0.216,0.72,8.9,2.3,0.7,2,-0.5,-0.032
37,MIA,Isaiah Morris,0.456,,0.75,4.1,2.2,0.5,0.2,0,-0.022
38,ATL,Elmer Bennett,0.34,0.273,0.722,7.6,2.3,0.5,1,-0.3,-0.095
39,CHI,Litterial Green,0.42,0.077,0.665,8,2.9,0.5,1.2,1.6,0.066
40,NJN,Steve Rogers,,,,,,,,,
41,HOU,Popeye Jones,0.447,0.281,0.751,23.5,7,7.4,1.3,22,0.084
42,MIA,Matt Geiger,0.499,0.232,0.728,22.1,9.2,5.7,0.7,28.4,0.112
43,GSW,Sasha Danilovic,0.439,0.379,0.789,31.1,12.8,2.4,2,4.2,0.087
44,SAS,Henry Williams,,,,,,,,,
45,SEA,Chris King,0.423,0.383,0.633,20,6.7,3,1.1,1,0.023
46,DEN,Robert Werdann,0.378,0,0.574,5.8,2.1,1.7,0.2,0.1,0.026
47,BOS,Darren Morningstar,0.476,,0.6,16,4.2,3.5,0.7,0.4,0.048
48,PHO,Brian Davis,0.317,0.333,0.735,5.5,1.9,0.8,0.3,0,0
49,PHO,Ron Ellis,,,,,,,,,
50,GSW,Matt Fish,0.5,0,0.625,10.2,3.5,2.2,0.5,0.6,0.058
51,MIN,Tim Burroughs,,,,,,,,,
52,CHI,Matt Steigenga,0.25,0,0.5,6,1.5,1.5,1,0,-0.126
53,HOU,Curtis Blair,,,,,,,,,
54,SAC,Brett Roberts,,,,,,,,, 
