Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,WAS,John Wall,0.427,0.305,0.79,36,17.7,4.3,8.3,19.1,0.093
2,PHI,Evan Turner,0.427,0.323,0.771,28.8,11,5.2,3.1,8.2,0.043
3,NJN,Derrick Favors,0.509,0,0.658,23.8,9.8,6.9,0.9,16.3,0.109
4,MIN,Wesley Johnson,0.409,0.347,0.749,24.9,8.1,3.2,1.3,3.9,0.027
5,SAC,DeMarcus Cousins,0.463,0.148,0.718,30.4,18,10.3,2.4,18.8,0.099
6,GSW,Ekpe Udoh,0.428,0,0.718,18.7,4.4,3.5,0.7,5.4,0.059
7,DET,Greg Monroe,0.508,0,0.68,31.3,14,9,2.3,26.1,0.127
8,LAC,Al-Farouq Aminu,0.442,0.292,0.727,23,6.5,5.4,1.1,8.5,0.057
9,UTA,Gordon Hayward,0.438,0.365,0.816,28.6,12.2,3.5,3.2,16.2,0.092
10,IND,Paul George,0.428,0.36,0.828,31.8,15.3,6.1,2.9,28.2,0.149
11,NOH,Cole Aldrich,0.535,,0.786,7.8,2,2.5,0.2,2.8,0.122
12,MEM,Xavier Henry,0.406,0.325,0.635,15.8,5.7,1.9,0.6,0.7,0.011
13,TOR,Ed Davis,0.546,0,0.592,20.9,7,5.9,0.7,16.4,0.133
14,HOU,Patrick Patterson,0.484,0.374,0.724,22.6,8.3,4.6,1,12.6,0.103
15,MIL,Larry Sanders,0.473,0,0.559,19.7,6.4,5.8,0.7,9.1,0.104
16,MIN,Luke Babbitt,0.375,0.369,0.733,12.2,4.2,2.3,0.5,1.6,0.041
17,CHI,Kevin Seraphin,0.487,0,0.716,16.6,6.4,3.6,0.5,3.6,0.041
18,OKC,Eric Bledsoe,0.446,0.331,0.762,22.2,8.8,3,3.5,8.8,0.077
19,BOS,Avery Bradley,0.439,0.363,0.779,23.7,9.4,2.3,1.4,4.2,0.04
20,SAS,James Anderson,0.417,0.33,0.755,18.4,6.3,2.4,1.3,3.6,0.047
21,OKC,Craig Brackins,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089
22,POR,Elliot Williams,0.431,0.296,0.679,14.4,5.4,1.6,0.9,0.7,0.025
23,MIN,Trevor Booker,0.536,0.28,0.611,20.3,6.5,5,0.8,12.6,0.122
24,ATL,Damion James,0.415,0,0.667,16,3.8,3.4,0.7,0,-0.001
25,MEM,Dominique Jones,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017
26,OKC,Quincy Pondexter,0.419,0.352,0.73,15.9,4.5,1.8,0.7,6.3,0.089
27,NJN,Jordan Crawford,0.405,0.306,0.828,24.7,12.2,2.6,3.2,5.2,0.039
28,MEM,Greivis Vasquez,0.424,0.339,0.829,23.8,9.1,2.6,5.2,10.2,0.068
29,ORL,Daniel Orton,0.485,0,0.597,10.6,2.8,2.5,0.5,1,0.093
30,WAS,Lazar Hayward,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02
31,NJN,Tibor Pleiss,,,,,,,,,
32,MIA,Dexter Pittman,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068
33,SAC,Hassan Whiteside,0.444,,0.417,5.8,1.5,2.1,0,0.2,0.072
34,POR,Armon Johnson,0.458,0.4,0.679,8.5,3.3,1,1.2,-0.1,-0.015
35,WAS,Nemanja Bjelica,,,,,,,,,
36,DET,Terrico White,,,,,,,,,
37,MIL,Darington Hobson,0.154,0,,7.8,0.8,0.6,1.2,-0.2,-0.225
38,NYK,Andy Rautins,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314
39,NYK,Landry Fields,0.472,0.331,0.663,25,7.3,4.6,1.7,10.1,0.084
40,IND,Lance Stephenson,0.46,0.321,0.682,26.9,9.1,4.7,3.2,12.2,0.1
41,MIA,Jarvis Varnado,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089
42,MIA,Da'Sean Butler,,,,,,,,,
43,LAL,Devin Ebanks,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035
44,MIL,Jerome Jordan,0.564,,0.8,5.4,2,1.4,0.2,0.5,0.174
45,MIN,Paulao Prestes,,,,,,,,,
46,PHO,Gani Lawal,,,,2,0,0,0,0,-0.009
47,MIL,Tiny Gallon,,,,,,,,,
48,MIA,Latavious Williams,,,,,,,,,
49,SAS,Ryan Richards,,,,,,,,,
50,DAL,Solomon Alabi,0.314,,0.7,7,1.5,2.3,0.2,0,0.01
51,OKC,Magnum Rolle,,,,,,,,,
52,BOS,Luke Harangody,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048
53,ATL,Pape Sy,0.333,0,1,7,2.3,1,0.7,0,-0.047
54,LAC,Willie Warren,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065
55,UTA,Jeremy Evans,0.571,0,0.658,11.5,3.9,2.8,0.5,6.2,0.142
56,MIN,Hamady N'Diaye,0.467,,0.462,4.8,0.6,0.8,0.1,0,0.013
57,IND,Ryan Reid,0.8,,,3.4,1.6,0.4,0,0.1,0.142
58,LAL,Derrick Caracter,0.485,,0.739,5.2,2,1,0.2,0.3,0.057
59,ORL,Stanley Robinson,,,,,,,,,
60,PHO,Dwayne Collins,,,,,,,,, 
