Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,RTG,RTG_exp,RTG_diff,PTS_exp,TRB_exp,AST_exp
13,CHH,Kobe Bryant,0.453,0.335,0.838,36.6,25.5,5.3,4.8,173.1,0.181,35.6,15.362,20.238,9.5,3.925,1.938
34,CLE,Carlos Boozer,0.522,0.071,0.727,31.9,16.6,9.7,2.3,78.2,0.148,28.6,8.695,19.905,5.024,2.252,1.419
30,GSW,Gilbert Arenas,0.421,0.351,0.803,35.1,20.7,3.9,5.3,51.3,0.127,29.9,10.477,19.423,6.064,3.164,1.25
40,GSW,Monta Ellis,0.455,0.319,0.776,36,19.4,3.7,4.9,33.7,0.074,28,8.742,19.258,5.289,2.1,1.353
2,SEA,Kevin Durant,0.479,0.377,0.882,38.2,27.4,6.9,3.5,88.6,0.205,37.8,20.838,16.962,12.367,5.779,2.692
30,NYK,David Lee,0.534,0.038,0.78,32.5,15.2,9.8,2.4,64.1,0.146,27.4,10.477,16.923,6.064,3.164,1.25
19,POR,Zach Randolph,0.472,0.26,0.763,32,17.2,9.4,1.8,66.2,0.116,28.4,11.6,16.8,7.196,3.158,1.246
28,SAS,Tony Parker,0.495,0.319,0.752,32.6,17.1,3,6,96.6,0.15,26.1,9.773,16.327,5.891,2.359,1.523
11,PHI,Michael Carter-Williams,0.404,0.264,0.7,34.4,16.7,6.3,6.3,1.2,0.023,29.3,13.465,15.835,8.122,3.613,1.73
43,MIL,Michael Redd,0.447,0.38,0.838,32,19,3.8,2.1,55.9,0.134,24.9,9.238,15.662,5.857,2.381,1
48,LAL,Marc Gasol,0.511,0.152,0.751,33.8,13.6,7.9,2.9,49.2,0.157,24.4,8.8,15.6,4.912,2.988,0.9
9,MIL,Dirk Nowitzki,0.477,0.384,0.878,35.8,22.5,8.1,2.6,186.2,0.209,33.2,17.971,15.229,10.925,4.988,2.058
15,BOS,Al Jefferson,0.501,0.105,0.711,31.1,17.1,9.1,1.5,60.3,0.131,27.7,12.496,15.204,7.474,3.539,1.483
32,SEA,Rashard Lewis,0.452,0.386,0.805,32,14.9,5.2,1.7,90.9,0.13,21.8,6.69,15.11,4.033,1.667,0.99
37,LAL,Nick Van Exel,0.405,0.357,0.794,32.9,14.4,2.9,6.6,55.9,0.093,23.9,8.883,15.017,5.146,2.421,1.317
5,MIA,Dwyane Wade,0.492,0.291,0.765,36.6,24.3,5,6,106.2,0.192,35.3,20.492,14.808,12.658,5.133,2.7
38,HOU,Chandler Parsons,0.469,0.368,0.712,34.4,14.1,5.2,3.2,18.6,0.117,22.5,7.758,14.742,4.321,2.068,1.368
1,CLE,LeBron James,0.496,0.341,0.748,39.5,27.5,7.2,6.9,169.2,0.242,41.6,27.029,14.571,16.708,7.358,2.962
41,HOU,Cuttino Mobley,0.433,0.378,0.835,37,16,3.9,2.7,52.2,0.091,22.6,8.253,14.347,5.021,2.216,1.016
10,BOS,Paul Pierce,0.447,0.37,0.807,36,21.2,5.9,3.8,144.1,0.162,30.9,16.679,14.221,10.442,4.133,2.104
57,SAS,Manu Ginobili,0.451,0.37,0.833,27.1,14.7,3.8,4,94.2,0.208,22.5,8.543,13.957,4.871,2.557,1.114
55,SAS,Luis Scola,0.5,0.146,0.747,27.6,13.1,7.1,1.8,37.4,0.116,22,8.209,13.791,4.845,2.373,0.991
60,SAC,Isaiah Thomas,0.448,0.358,0.856,28.9,15.4,2.5,4.8,18.1,0.134,22.7,9.08,13.62,5.54,2.04,1.5
18,NOH,David West,0.491,0.256,0.825,32,15.9,7.2,2.2,70.1,0.14,25.3,11.804,13.496,7.175,3.387,1.242
5,MEM,Kevin Love,0.45,0.364,0.816,32.9,19.2,12.2,2.5,47.8,0.189,33.9,20.492,13.408,12.658,5.133,2.7
37,DET,Mehmet Okur,0.458,0.375,0.797,29.1,13.5,7,1.7,54.7,0.142,22.2,8.883,13.317,5.146,2.421,1.317
15,PHO,Steve Nash,0.49,0.428,0.904,31.3,14.3,3,8.5,129.7,0.164,25.8,12.496,13.304,7.474,3.539,1.483
24,GSW,Latrell Sprewell,0.425,0.337,0.804,38.6,18.3,4.1,4,56.3,0.077,26.4,13.229,13.171,8.112,3.096,2.021
42,PHO,Stephen Jackson,0.414,0.333,0.798,31.9,15.1,3.9,3.1,36.1,0.063,22.1,8.98,13.12,5.233,2.573,1.173
17,ATL,Josh Smith,0.458,0.277,0.642,34.3,15.4,7.9,3.2,48.6,0.089,26.5,13.446,13.054,8.033,3.779,1.633
7,GSW,Stephen Curry,0.467,0.438,0.899,35.5,20.4,4.1,6.7,39.5,0.155,31.2,18.192,13.008,11.237,4.417,2.538
26,SAC,Kevin Martin,0.441,0.386,0.87,30.9,17.9,3.3,1.9,58.9,0.146,23.1,10.208,12.892,6.146,2.842,1.221
3,DEN,Carmelo Anthony,0.455,0.345,0.811,36.5,25.2,6.5,3.1,83.3,0.137,34.8,22.071,12.729,14.062,4.875,3.133
47,UTA,Paul Millsap,0.506,0.332,0.724,28.3,13.1,7.2,1.9,55.2,0.151,22.2,9.472,12.728,5.578,2.417,1.478
