Pk,Tm,Player,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48
1,MIL,Andrew Bogut,0.528,0.087,0.561,31.3,11.5,9.3,2.2,39.2,0.117
2,ATL,Marvin Williams,0.447,0.335,0.804,29.1,10.7,5.1,1.3,37.1,0.096
3,UTA,Deron Williams,0.453,0.358,0.818,35.5,17.5,3.2,8.7,68.6,0.141
4,NOH,Chris Paul,0.472,0.356,0.857,36.4,18.6,4.4,9.9,116.3,0.246
5,CHA,Raymond Felton,0.412,0.332,0.783,34.4,13.1,3.3,6.5,32.4,0.068
6,POR,Martell Webster,0.421,0.385,0.793,24.7,9,3.2,1,24.7,0.087
7,TOR,Charlie Villanueva,0.44,0.343,0.775,22.9,11.4,5.1,0.9,21,0.082
8,NYK,Channing Frye,0.443,0.386,0.815,24.6,9.9,5.2,1,29,0.096
9,GSW,Ike Diogu,0.509,0.5,0.786,12.4,6,3.1,0.3,6.5,0.112
10,LAL,Andrew Bynum,0.556,0.111,0.69,25.6,11.5,7.7,1.2,37.4,0.168
11,ORL,Fran Vazquez,,,,,,,,,
12,LAC,Yaroslav Korolev,0.283,0.25,0.625,4.9,1.1,0.5,0.4,-0.1,-0.024
13,CHA,Sean May,0.458,0.231,0.746,15.7,6.9,4,1,2.6,0.068
14,MIN,Rashad McCants,0.431,0.368,0.741,20.2,10,2,1.3,3.6,0.035
15,NJN,Antoine Wright,0.412,0.304,0.674,19.2,5.4,2.3,1,3.1,0.026
16,TOR,Joey Graham,0.483,0.3,0.815,16.2,5.9,2.8,0.5,7.8,0.061
17,IND,Danny Granger,0.435,0.381,0.849,32.1,17.4,5.1,1.9,47.9,0.129
18,BOS,Gerald Green,0.427,0.371,0.821,20,9.9,2.5,1,10.8,0.071
19,MEM,Hakim Warrick,0.49,0.191,0.726,20.2,9.4,4,0.8,20.4,0.092
20,DEN,Julius Hodge,0.44,,0.5,4.3,1.2,0.7,0.8,0,0.003
21,PHO,Nate Robinson,0.426,0.363,0.8,23,11.4,2.4,3,27.6,0.099
