Pk,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,RTG,count,Star,Solid,RoleP,BenchP,Bust,DNP
1,0.485,0.234,0.711,32.054,16.708,7.358,2.962,62.567,27.029,24,0.792,0.083,0.083,0.042,,
2,0.464,0.242,0.724,28.617,12.367,5.779,2.692,49,20.838,24,0.542,0.292,0.125,0.042,,
3,0.455,0.313,0.771,29.488,14.062,4.875,3.133,47.188,22.071,24,0.708,0.167,0.083,0.042,,
4,0.452,0.303,0.75,29.396,13.212,5.262,3.021,46.479,21.496,24,0.625,0.167,0.208,,,
5,0.445,0.276,0.76,27.429,12.658,5.133,2.7,48.342,20.492,24,0.625,0.125,0.042,0.208,,
6,0.445,0.239,0.715,25.862,10.279,4.417,1.929,19.146,16.625,24,0.333,0.167,0.333,0.167,,
7,0.437,0.289,0.754,27.271,11.237,4.417,2.538,27.438,18.192,24,0.375,0.292,0.292,0.042,,
8,0.444,0.253,0.725,23.104,9.317,3.829,1.838,22.471,14.983,24,0.333,0.125,0.25,0.292,,
9,0.465,0.238,0.726,25.05,10.925,4.988,2.058,38.342,17.971,24,0.458,0.125,0.25,0.125,0.042,
10,0.446,0.292,0.748,24.233,10.442,4.133,2.104,35.688,16.679,24,0.375,0.208,0.208,0.167,0.042,
11,0.456,0.254,0.719,20.748,8.122,3.613,1.73,19.517,13.465,24,0.167,0.083,0.417,0.25,0.042,0.042
12,0.445,0.257,0.697,18.283,6.512,3.496,1.117,13.396,11.125,24,0.042,0.083,0.458,0.333,0.083,
13,0.454,0.272,0.734,22.967,9.5,3.925,1.938,29.912,15.362,24,0.167,0.333,0.375,0.125,,
14,0.436,0.283,0.72,19.779,7.938,3.233,1.367,14.263,12.538,24,0.125,0.25,0.333,0.125,0.167,
15,0.446,0.245,0.714,19.935,7.474,3.539,1.483,21.957,12.496,24,0.125,0.125,0.375,0.208,0.125,0.042
16,0.4,0.281,0.734,17.635,6.778,3.061,1.409,15.439,11.248,24,0.083,0.208,0.25,0.25,0.125,0.042
17,0.445,0.236,0.72,20.975,8.033,3.779,1.633,18.421,13.446,24,0.167,0.167,0.292,0.375,,
18,0.438,0.272,0.724,18.758,7.175,3.387,1.242,16.942,11.804,24,0.083,0.167,0.292,0.333,0.125,
19,0.428,0.243,0.743,18.067,7.196,3.158,1.246,12.683,11.6,24,0.042,0.208,0.292,0.333,0.125,
20,0.44,0.275,0.693,17.267,6.317,2.729,1.438,11.513,10.483,24,0.083,0.042,0.417,0.333,0.125,
21,0.402,0.304,0.718,19.833,7.538,3.346,2.013,20.787,12.896,24,0.125,0.333,0.167,0.208,0.167,
22,0.446,0.263,0.686,17.421,5.933,3.154,1.183,9.875,10.271,24,0.042,0.167,0.208,0.542,0.042,
23,0.434,0.31,0.715,19.279,6.7,3.213,1.346,15.863,11.258,24,0.042,0.125,0.542,0.208,0.083,
24,0.428,0.283,0.752,20.983,8.112,3.096,2.021,21.625,13.229,24,0.167,0.167,0.333,0.292,0.042,
25,0.436,0.22,0.713,16.378,6.165,2.896,1.157,11.13,10.217,24,0.083,0.083,0.292,0.375,0.125,0.042
26,0.444,0.226,0.705,16.462,6.146,2.842,1.221,14.4,10.208,24,0.042,0.167,0.292,0.25,0.25,
27,0.444,0.263,0.694,16.021,5.729,2.921,1.233,10.825,9.883,24,,0.167,0.25,0.542,0.042,
28,0.432,0.235,0.716,15.768,5.891,2.359,1.523,13.155,9.773,24,0.042,0.083,0.208,0.5,0.083,0.083
29,0.444,0.218,0.705,15.52,5.27,2.79,1.115,13.835,9.175,24,0.042,0.083,0.125,0.458,0.125,0.167
30,0.425,0.189,0.717,17.032,6.064,3.164,1.25,13.241,10.477,24,0.083,0.083,0.208,0.333,0.208,0.083
31,0.426,0.235,0.703,14.605,5.119,2.314,0.919,5.871,8.352,24,0.042,0.083,0.125,0.292,0.333,0.125
32,0.423,0.235,0.627,11.924,4.033,1.667,0.99,7.076,6.69,24,0.042,,0.083,0.458,0.292,0.125
33,0.441,0.194,0.655,11.854,3.717,2.387,0.667,4.575,6.771,24,,,0.125,0.542,0.333,
34,0.434,0.242,0.726,14.505,5.024,2.252,1.419,8.219,8.695,24,0.042,,0.125,0.542,0.167,0.125
35,0.416,0.236,0.658,13.474,4.089,2.642,0.926,5.547,7.658,24,,0.083,0.167,0.167,0.375,0.208
36,0.43,0.241,0.657,12.853,4.574,2.463,0.884,3.795,7.921,24,,0.042,0.125,0.458,0.167,0.208
37,0.404,0.272,0.729,14.325,5.146,2.421,1.317,11.092,8.883,24,0.083,0.042,0.292,0.292,0.292,
38,0.424,0.268,0.662,14.205,4.321,2.068,1.368,6.605,7.758,24,0.042,,0.125,0.375,0.25,0.208
39,0.399,0.266,0.73,14.675,4.965,2.1,1.26,5.88,8.325,24,,0.125,0.208,0.25,0.208,0.167
40,0.439,0.244,0.732,14.626,5.289,2.1,1.353,5.211,8.742,24,0.042,0.042,0.125,0.458,0.125,0.208
41,0.44,0.287,0.709,14.432,5.021,2.216,1.016,7.642,8.253,24,0.042,0.042,0.167,0.333,0.208,0.208
42,0.399,0.256,0.69,15.22,5.233,2.573,1.173,8.487,8.98,24,0.042,0.042,0.208,0.125,0.208,0.375
43,0.386,0.249,0.711,15.029,5.857,2.381,1,10.419,9.238,24,0.042,0.125,0.25,0.208,0.25,0.125
44,0.401,0.214,0.784,12.208,4.15,2,0.875,5.425,7.025,24,,,0.125,0.25,0.125,0.5
45,0.428,0.261,0.741,17.321,6.037,2.605,1.295,14.416,9.937,24,,0.167,0.167,0.458,,0.208
46,0.436,0.243,0.705,12.725,4.512,1.931,0.725,3.806,7.169,24,,0.083,0.083,0.292,0.167,0.333
47,0.47,0.354,0.715,14.944,5.578,2.417,1.478,10.194,9.472,24,0.083,0.042,0.167,0.375,0.083,0.25
48,0.401,0.224,0.658,14.482,4.912,2.988,0.9,7.147,8.8,24,0.083,,0.208,0.083,0.333,0.292
49,0.406,0.162,0.7,12.16,4.033,2.207,0.94,5.82,7.18,24,,0.042,0.125,0.25,0.208,0.375
50,0.442,0.206,0.651,10.625,3.592,2.033,0.508,3.517,6.133,24,,0.042,0.042,0.167,0.25,0.5
51,0.382,0.226,0.642,10.955,3.691,1.673,0.864,6.673,6.227,24,,,0.083,0.167,0.167,0.542
52,0.374,0.185,0.632,10.183,3.017,1.661,0.811,4.239,5.489,24,,,0.083,0.292,0.375,0.25
53,0.377,0.242,0.655,10.65,3.108,1.633,0.833,1.992,5.575,24,,,,0.292,0.208,0.5
54,0.456,0.245,0.74,12.633,4.356,2.089,0.7,6.022,7.144,24,,,0.083,0.125,0.167,0.625
55,0.412,0.193,0.678,13.345,4.845,2.373,0.991,6.245,8.209,19,0.053,,0.105,0.263,0.158,0.421
56,0.466,0.282,0.632,10.936,3.727,1.873,0.955,5.691,6.555,19,,0.053,0.053,0.158,0.316,0.421
57,0.466,0.391,0.588,12.643,4.871,2.557,1.114,18.357,8.543,19,0.053,0.053,,0.105,0.158,0.632
58,0.463,0.291,0.76,8.788,3.025,1.575,0.4,2.188,5,16,,,,0.25,0.25,0.5
59,0.34,0.308,0.555,6.95,1.95,0.9,0.55,-0.2,3.4,10,,,,,0.2,0.8
60,0.425,0.293,0.727,15,5.54,2.04,1.5,4.16,9.08,9,0.111,,,0.222,0.222,0.444
